Imagen	Predicción (gramos)	Peso	Error
CUY_01_024_08.jpg	586.4710083007812	771.1064	-184.63539169921876
CUY_01_024_01.jpg	666.1351318359375	771.1064	-104.97126816406251
CUY_00_217_01.jpg	691.0606689453125	1014.0	-322.9393310546875
CUY_01_024_04.jpg	488.1236572265625	771.1064	-282.9827427734375
CUY_01_024_05.jpg	638.622802734375	771.1064	-132.483597265625
CUY_00_029_06.jpg	696.6051635742188	681.0	15.60516357421875
CUY_00_217_03.jpg	718.311767578125	1014.0	-295.688232421875
CUY_00_081_02.jpg	876.1134033203125	1109.0	-232.8865966796875
CUY_01_024_02.jpg	675.341064453125	771.1064	-95.76533554687501
CUY_00_217_02.jpg	620.6568603515625	1014.0	-393.3431396484375
CUY_01_024_09.jpg	642.41455078125	771.1064	-128.69184921875
B_CUY_01_045_09.jpg	955.1875	934.39952	20.787979999999948
CUY_01_024_10.jpg	588.82177734375	771.1064	-182.28462265625
B_CUY_01_101_01.jpg	538.986328125	489.87936	49.10696812499998
CUY_00_217_04.jpg	642.5100708007812	1014.0	-371.48992919921875
B_CUY_01_083_06.jpg	337.7927551269531	145.14944	192.64331512695313
B_CUY_01_066_03.jpg	560.753662109375	381.01728	179.73638210937497
CUY_01_024_07.jpg	653.9445190429688	771.1064	-117.16188095703126
B_CUY_01_065_10.jpg	544.4349365234375	390.08912	154.34581652343752
CUY_00_076_14.jpg	1272.388671875	1426.0	-153.611328125
CUY_00_076_12.jpg	962.74951171875	1426.0	-463.25048828125
B_CUY_01_026_01.jpg	823.6133422851562	734.81904	88.79430228515628
B_CUY_01_066_15.jpg	714.8727416992188	381.01728	333.8554616992187
B_CUY_01_083_03.jpg	340.05560302734375	145.14944	194.90616302734375
B_CUY_01_026_05.jpg	846.986572265625	734.81904	112.16753226562503
CUY_00_007_07.jpg	952.8948974609375	884.0	68.8948974609375
B_CUY_01_066_02.jpg	580.2796020507812	381.01728	199.26232205078122
B_CUY_01_043_05.jpg	789.1405029296875	1097.69264	-308.5521370703125
CUY_01_024_03.jpg	412.74609375	771.1064	-358.36030625
B_CUY_01_026_04.jpg	580.1142578125	734.81904	-154.70478218749997
B_CUY_01_026_06.jpg	715.0186767578125	734.81904	-19.800363242187473
B_CUY_01_043_06.jpg	887.475341796875	1097.69264	-210.21729820312498
CUY_00_081_03.jpg	941.7010498046875	1109.0	-167.2989501953125
B_CUY_01_045_08.jpg	966.0513916015625	934.39952	31.651871601562448
CUY_00_029_03.jpg	804.0771484375	681.0	123.0771484375
B_CUY_01_045_03.jpg	1080.69482421875	934.39952	146.29530421874995
CUY_00_076_03.jpg	1091.9755859375	1426.0	-334.0244140625
CUY_00_029_04.jpg	782.92333984375	681.0	101.92333984375
B_CUY_01_083_05.jpg	354.0348205566406	145.14944	208.88538055664063
B_CUY_01_043_07.jpg	926.3452758789062	1097.69264	-171.34736412109373
B_CUY_01_043_08.jpg	746.2182006835938	1097.69264	-351.47443931640623
B_CUY_01_076_02.jpg	588.5648193359375	281.22704	307.3377793359375
CUY_00_029_01.jpg	856.8185424804688	681.0	175.81854248046875
CUY_00_213_05.jpg	674.444580078125	644.0	30.444580078125
CUY_00_074_10.jpg	957.5010986328125	1296.0	-338.4989013671875
CUY_00_029_05.jpg	719.4071655273438	681.0	38.40716552734375
CUY_00_076_02.jpg	1017.8135986328125	1426.0	-408.1864013671875
CUY_00_081_01.jpg	1003.9312744140625	1109.0	-105.0687255859375
B_CUY_01_045_06.jpg	882.6024169921875	934.39952	-51.79710300781255
CUY_00_076_15.jpg	1280.1480712890625	1426.0	-145.8519287109375
CUY_01_024_06.jpg	650.3015747070312	771.1064	-120.80482529296876
B_CUY_01_045_07.jpg	1060.989013671875	934.39952	126.58949367187495
B_CUY_01_045_05.jpg	1028.08544921875	934.39952	93.68592921874995
CUY_00_076_01.jpg	849.457763671875	1426.0	-576.542236328125
B_CUY_01_026_07.jpg	743.2772827148438	734.81904	8.458242714843777
B_CUY_01_065_07.jpg	598.52099609375	390.08912	208.43187609375002
CUY_00_074_09.jpg	916.0123291015625	1296.0	-379.9876708984375
CUY_00_076_10.jpg	955.5728759765625	1426.0	-470.4271240234375
CUY_00_007_06.jpg	745.8824462890625	884.0	-138.1175537109375
B_CUY_01_076_11.jpg	516.3541259765625	281.22704	235.1270859765625
B_CUY_01_043_04.jpg	1005.4805908203125	1097.69264	-92.21204917968748
B_CUY_01_026_03.jpg	628.7073974609375	734.81904	-106.11164253906247
